userName,score,at,content
Layaing2000 Layaing,1,2025-10-11 11:16:32,"ngeselin banget, w mau buat npwp susahnya nauzubillah. ada opsi untuk upload foto bisa lewat dari file yg sudah banyak fotonya atau take foto. terus gua klik upload lewat file yg udh ada fotonya malah ga bisa, bisanya yg take foto. sebenarnya lu niat ga sih ngasih fitur pemilihan begitu? lu ngasih fitur buat milih tapi giliran dipilih kagak bisa."
alan Maulana,1,2025-10-11 05:58:19,"susah login, error trs"
Axel rose,1,2025-10-10 12:49:32,susah login
Rafli Kurniawan,1,2025-10-10 05:42:52,sangat tidak bermutu ni appk
riza_ djauh,1,2025-10-10 05:25:55,apk apa ini mau daftar gak bisa hapus aja apknya
Sopyan Paradise,1,2025-10-10 03:21:05,"ngga jelas, ngga bisa login"
Ahdiya R Pratama,1,2025-10-10 02:43:46,hadeuh
Akmal Isya Ramadhan,1,2025-10-09 13:11:07,"tolol negara macam apa menyediakan aplikasi malah buat rumit warga nya, buat daftar pajak aja susah nya minta ampun tapi kami di paksa dan di wajib kan bayar pajak"
Rio Ravelino,1,2025-10-09 09:06:29,"Force close trs, selalu kl yg berhubungan sm pemerintah itu gaje semua. kbnykn yg korup kalah jauh sm jabar, aplikasi pajak bisa diakses 24 jam penuh tanpa kendala"
nurul aisyahch,5,2025-10-09 04:15:53,ok
Agung Pangestu,1,2025-10-08 14:57:48,"aplikasi ga bantu,malah bikin puyeng"
Al Dudie,1,2025-10-08 14:48:42,"saya sudah menggunakan aplikasi Ini lama tidak ada kendala dan sangat membantu,tiba2 ada pemberitahuan update aplikasi di BLN Oktober 2025,setelah sy update versi terbaru eror terus ada password salah menu login tidak ada opsi lupa password dll,bikin repot saja heran"
Ariez Mancing,1,2025-10-08 13:25:02,"aplikasi pepnipuan nanti dia akan hack hp, jgm di instal"
Tarisa Anggella,1,2025-10-08 12:41:00,aplikasi gak jelas
sukono prio,4,2025-10-08 08:50:02,pelayanan pajak baik
Yogi Ramdhani,1,2025-10-07 18:35:59,ga bisa login apk sampah cuma mau pajak nya doang ngurusin apk aja ga becus
Ar Rahman,1,2025-10-07 17:27:50,aplikasi terburuk yg pernah ada
a a,1,2025-10-07 05:51:19,"aplikasi sampah ,duit rakyat di pake buat bikin aplikasi kayak gini"
Miftachul Ilma,1,2025-10-07 01:11:35,"Saya coba minta kode effin, tapi nomor NPWP koh cuma 15 digit, padahal nomor NPWP sekarang 16 digit. jadi tetep gak bisa minta kode effin. Tolong dong diperbaiki"
methyu louise,1,2025-10-06 09:06:39,"payah tidak mempedulikan masyarakat, no npwp sekarang kan sudah termasuk dengan nik,sedangkan di apk dpj memerlukan 15 digit no npwp. sedangkan nik 16 digit ?? dan yang tertara di no npwp juga no nik?? bagaimana dengan login di djp menggunakan no tertara di npwp 16digit.sedangkan login m-pajak 15 digit sehatkah pembuat apk djp ?? tolong di perbaiki saya sangat membutuhkan !!!"
Musriyanto,1,2025-10-06 08:43:28,Kayak Taiiii
Maulana Wahyudin,1,2025-10-06 07:27:37,aplikasi bodoh baru klik live chat langsung koneksi terputus ribet ga jelas abisin anggaran negara aja mau bayar pajak ribetnya naudzubillah ujung2nya dikorupsi
MOHAMAD AMIN,5,2025-10-06 04:58:26,saya tidak bisah cetak kartu NPWP di kantor npwp gimana caranya supayah saya bisah cetak kartu npwp
Sambrindho Ambarita,1,2025-10-05 23:44:43,minimal kalok promisi jangan di tipu
Rezaa Juliaana,1,2025-10-05 15:50:23,gk ada pilihan daftar nya gimana mau login ke aplikasinya aneh
Afriadi Permana Saputra,5,2025-10-04 14:55:36,mantap
Hajarrudin Ahmad,1,2025-10-04 11:20:20,"website susah diakses , aplikasi bapuk ,, gak guna kalian ..."
Sunset Nect,1,2025-10-04 04:55:41,ngga jelas ngga bisa daftar
Alfarobi,1,2025-10-04 01:53:40,"Aplikasi yang bagus, ini bintang dariku😹"
M .yansah,1,2025-10-03 11:37:55,aplikasih busuk
Desta Deby,1,2025-10-03 05:53:36,"berkali kali ganti pasword,ndak bisa log'in juga,terlalu hebat aplikasi ini,...log'in aja ndak bisa apalagi kalo ada yang mau bobol...gak bakal gagal😝😝😝"
Mici Meoempat,1,2025-10-03 04:49:30,Goblk anjggg nntot aplikasi gak berguna Thai
Yugi Nur Hakim,1,2025-10-03 04:05:42,"Tidak mempermudah, sering error, menghabiskan pulsa tetapi tidak ada hasil"
Bagus Prasetiyo Aji,1,2025-10-02 17:38:53,"aplikasi sampah buatan pemerintah., bikin NPWP juga susah udah ada NPWP mau login dibikin susah lagi. sinyal sudah bagus padahal"
Dino Sourch,1,2025-10-02 16:52:17,"sok2an mau pake digital tp sistem nya masih bobrok, yg di gunakan hanya golongan,bukan ahlinya sih.. serahkan pekerjaan apada ahlinya.. kalau 1bulan gagal pecat ganti baru,kan bisa tuh.."
Qadarusman,1,2025-10-02 15:12:00,"baru siang melakukan pembaruan NPWP di kantor pajak, sdh selesai,ganti password jd sdh, masuk lewat WEB sukses...eh pas donlot APK ini malah gk bisa login,coba lg lwt web berhasil login, coba lg nih aplikasi ttp aja gk bisa login...emang ampas nih aplikasi, klo gk bisa bkin aplikasi mending gk usah boss,malu maluin aja"
Adrianto Habari,1,2025-10-02 10:20:59,INTINYA PELAYANAN JELEK
Abdul,5,2025-10-02 02:08:47,ok
Iyan Suryana,1,2025-10-01 14:20:39,kalian kalian semua kelak di akhirat akan di minta pertanggungjawaban atas pajak yg kalian terima !
Sukina Pulungan,1,2025-10-01 13:02:46,bagai mana ini aplikasi. menu daftarnya aja nggak ada.
Oncom Gondrong,1,2025-10-01 07:11:18,betul banget aplikasi error. kenapa gak bisa login padahal nik/ npwp password sudah benar. selalu username tidak ditemukan. pake versi web juga sama saja error
Suprapto Prap,5,2025-10-01 06:33:50,mudah mudahan saat digunakan selalu lancar dan tidak ada kendala sedikitpun...
Hafiz Qomar,1,2025-09-30 12:25:33,error terus
Rizki Sajili,1,2025-09-29 11:58:51,-0% bapak/ibu mohon maaf ini kan pasilitas rakyat kenapa di persulit yah banyak banget yg elor muali dari website sampai apk punnn gada yg bekerja denga baik
Dede Sugiatna,1,2025-09-29 09:42:30,tidak membantu malah mempersulit
Erdianto,1,2025-09-29 08:22:27,"aplikasi payah, sekelas aplikasi pemerintah ko seperti ini, saya login ga bisa2, ngirim kode verifikasi lewat email ga dikirim2. ayolah kerja yang benar."
Rahmat sambas Sambas,5,2025-09-29 06:27:20,mantap
feby bhramatya,1,2025-09-29 04:27:42,bener bener.. cuma buat log in susahnyaaaaaaaaaa
Willy Abdul,1,2025-09-29 04:05:00,"udah login tapi harus verifikasi ke email ,tapi kode verifikasi nya gak dikirim2 ke email 😡😡😡😡😡😡😡 udah berkali kali kirim di cek kotak masuk spam dll gak ada"
Siswanto,1,2025-09-29 01:57:45,"Pajak emang legit, tapi kerja mah pait, aplikasi sekelas pajak begini amat, parah"
Yolanda Puspitasari,1,2025-09-29 01:39:55,👎🏻👎🏻👎🏻👎🏻
Ponember Manurung,1,2025-09-28 12:46:11,"kode otp tidak dikirim tapi dipaksa ngecek semua folder, orang ngk ada mau gimana lihatnya, ini bukti mau bayar pajak aja dipersulit,"
ujang sudrajat,1,2025-09-28 04:06:25,kata nya harus bayar pajak tapi untuk bikin npwp d aplikasi d persulit sistem apakah ini
Devaaryaysf,1,2025-09-28 01:59:01,"mau jadi warga tertib pajak dipersulit sama aplikasi banyak eror, username dan password udh bner tetep gbsa login"
Nasrullah Deciefa,1,2025-09-27 12:47:43,"tidak bisa masuk sama sekali, hapus aja aplikasinya, nggak guna sama sekali jadi aplikasi scam doang. ngehabisin waktu, tenaga, pkiran, dan kuota"
Ceng Sapri,1,2025-09-27 08:18:35,mau bikin NPWP online aja susah
Kris Diansyah,1,2025-09-27 06:18:27,ga ditempatnya ga di aplikasinya tetep di persulit!!
Nawilah Rahayu Astuti,4,2025-09-27 04:59:59,BAGUS
lukman efendi,1,2025-09-27 00:41:01,mau log in eda verifikasi bia email tapi kode verifikasi tidak di kirim kirim.. tolong perbaiki lagi sistem nya
Dargo TriW,3,2025-09-27 00:09:45,kirain cuma sya ternyata bnyak yg ngalamin gagal masuk
Gufron Naja,1,2025-09-26 23:33:53,"pelayanan online mines, kode buat bikin npwp lama, alamat udh benenr tapi salah terus"
Naufal Soebandriyo,1,2025-09-26 15:00:24,"APLIKASI LEMBAGA PEMERINTAH INDONESIA TIDAK ADA YANG BENAR, ERRORR MULU KEK PEJABATNYA.MENDING HAPUS AJA IAtU APLIKASI, GA GUNA, DANA KEBANYAKAN DI KORUPSI ...ANJENGLAH"
Damar satriyo Damar,1,2025-09-26 12:13:10,perbaiki websaitnya itu jii
Dika Daki,1,2025-09-26 10:46:19,apk pemerintah malah lemot dapet kode verifikasi susah minta ampun kerja nya apaan coba !!!!
arief kurniawan,5,2025-09-26 07:37:14,saya simpulkan dari komentar yang bintang 1 sampe 5...ini apk SAMPAH
DIMAS _official,1,2025-09-26 02:43:30,mau msk eror mlu
Firman Ramadhan,1,2025-09-26 02:04:34,erorrrrr terusssssssss mua aplikasi mau we . eror
bercahayA,1,2025-09-26 01:46:26,"password dan email benar tapi nunggu kode verifikasi by email lama parah bangettt, udah lewat lama pas nanti dimasukin kodenya udah expired.... huuuuu kgk pernah di maintenance atau tidak ada yang care aplikasi ini"
Dadan Ramadhani,1,2025-09-26 01:21:33,"web gajelas. aplikasi sulit untuk login, penyelesaian atur ulang sandi tidak ada. mau live chat juga gak bisa, walaupun ada opsi tulis tapi gak bisa dilanjut, mengecewakan. web maupun apk instansi pemerintah tapi kalah sama swasta. payah."
Mr lim chanel,1,2025-09-25 13:23:30,"Gak beres, Menu pendarannya gak ada, gmn mau login"
Muhammad Eko Saputro,1,2025-09-25 12:32:23,webnya ampas banget bambanggggg
Nandan Ra,1,2025-09-25 07:46:18,"mau login minta kode verif, tapi kodenya gak masuk masuk kocak"
poenya dolis,1,2025-09-25 01:27:17,"aplikasi gak guna,. ga bisa daftar akun baru."
Isekai !,1,2025-09-24 17:39:51,korupsi terus yang buat maintenance di korup bodoh
Deni Hamdan Maulani,1,2025-09-24 14:07:33,selalu gagal login.. padahal sudah benar ..
Xfirst,1,2025-09-24 11:08:24,hah sampah ga aplikasinya ga websitenya rusak semua.
Hafeez Lubis,1,2025-09-24 10:35:15,Engga web engga aplikasi gada yg beres
Fill,1,2025-09-24 07:53:11,verivikasi email aja banyak banget dramanya
Anton Budiawan,3,2025-09-24 05:30:22,"mau log in aja susah,nunggu kode verifikasi nggak dikirim2,ayolah ini apk formal negara masa kaya apk abal2"
Muhammad Rays,4,2025-09-24 05:23:09,sangat memuaskan aplikasinya
Tri Wahyu Suwito,1,2025-09-23 13:26:34,"Ya gini kalo dana buat aplikasi di korup, memalukan"
Zaida Hannum,1,2025-09-23 12:37:24,apk bobrok
Taufik Hidayat,1,2025-09-23 12:04:52,aplikasi penuh bug
Surya Dinata,1,2025-09-23 08:04:36,mau Daftar susah minta Ampun Anggaran kau makan seperti ini Ga usa bayar pajak smua rakyat biar mampus kau
Yazid Rofi,1,2025-09-23 05:48:58,"banyak eror , daftar NPWP online nomer verifikasi nya tidak terkirim gimana ini pelayanan nya"
Gleza Archilla,1,2025-09-23 04:53:19,"terlalu sampah mas apknya . Ayolah , kelas negara loh ."
Atung Kebelet,1,2025-09-23 04:00:46,APLIKASI EROR GAJELAS
nevysa rosihana,1,2025-09-23 03:55:25,aplikasi gak guna. muter2 doang gak jelas
Vis Vasrit,1,2025-09-23 00:55:03,bikin app bukannya mempermudah malah bikin susah. login aja gabisa
Dedik Pamungkas,1,2025-09-22 23:31:51,"Aplikasi ga guna, kirim email verifikasi baru masuk sehari kemudian. Pas di klik udh expired, coba kirim lagi tetep masuk emailnya sehari kemudian, expired lagi. Gitu aja trus."
Azhar Khoiri,1,2025-09-22 17:21:11,"Tolong ditangani dan ditanggapi, sekelas apk pelayanan masyarakat masih banyak bug, kalian dibayar pake pajak louh, bisa kerja gak sih? Ntah portal atau apk yang dinaungi pemerintah kok gak ada yg bener semuanya, cuih sampah..... Gtu aja trus sampe warga Indonesia mati semuanya"
Ricki Napitupulu,1,2025-09-22 17:12:00,aplikasi busukk buang² anggaran negara aja gimana cerita nya aplikasi pelayanan pajak busuk begini ngebut minta bayar lajak tepat waktu tapi giliran mau daftar npwp aja busuk nya minta ampun lebih bagusan aplikasi ilegal dari pada aplikasi ini yg gak ada gunanaya hanya mempersulit masyarakat
Ade Solihin,1,2025-09-22 14:11:28,"aplikasi tertolol, pemerintahan macam apa ga becus bikin aplikasi"
Faridz Faridz,1,2025-09-22 11:46:44,"aplikasi sampah !! Daftar online susah nya pake banget otp email kaga masuk otp no hp kaga masuk sistem jaman purba kaga di ganti abis pulsa gw ngeladenin aplikasi sampah website pemerintah burik parah tahun demi tahun gw coba coba terus kaga bisa Mulu, ayolah inovasi nya mana giliran aplikasi bokep mah cepet mau daftar GE padahal mau bayar pajak yaelah"
Ratna Eha,1,2025-09-22 10:38:17,kirim otp berkali kali ga pernah ada yg masuk
Ultra HD,1,2025-09-22 10:19:18,"gak di web gak di aplikasi gak ada yg jelas ni, masak login dari pagi sampe sore kode Verifikasi gak muncul"""
Dragneel dwiki,1,2025-09-22 08:15:22,"mau cek NPWP aja sulit banget padahal mau bayar pajak buat negara loh. versi web enggak bisa dibuka,aplikasinya perlu login menggunakan akun terlebih dahulu permasalahannya enggak ada opsi untuk registrasi 😒kan pe'ak , ada ada opsi untuk live chat dan saya bertanya sederhana ""bagaimana cara untuk registrasi "" sesimpel itu bootnya nggak mudeng pertanyaanya. percumah mbikin web & aplikasi kalau cuma jadi pajangan doang biar terlihat pemerintah melek teknologi tapi faktanya bobrok semua web&APKny"
M Farid Dwi Putra,1,2025-09-22 04:39:15,"kagak membantu sama sekali anjay, hari tanggal 22 September 2025 ane daftar pajak via web dari jam 8 pagi sampai jam 12 siang belum masuk juga tu kode verifikasi email-nya n cokk, udah gw spam beribu beribu kali kagak keluar keluar tu email-nya dan sampe ane ganti email dan terus balik ke email awal malah ngak muncul juga, pindah ke apk sama aja anjay kagak membantu, jadi males aja gw bayar pajak jadinya"
Ryosuke Ryouta,1,2025-09-22 04:11:39,makin nyusahin
Fariz Al Farizi,1,2025-09-22 00:45:02,jelek
Nanan Suhanda,1,2025-09-21 19:05:19,lama dapat kode otp nya
Amrullah. ullah,1,2025-09-21 13:43:05,tidak membantu
Sari Oktarina,1,2025-09-21 09:16:49,"tidak bisa login, tidak ada kode yang dikirim ke gmail"
Muhammad Ariq,1,2025-09-21 07:49:16,"apalah nik sama pasword udh sesuai masih salah malah eror, sampah"
Respect Gg,1,2025-09-21 02:27:35,ntah apa ribet kali
Eros Lush,1,2025-09-21 00:57:06,"korupsi doang lu getol, dari 2020 bikin NPWP itu kartu ga jadi2 skrg kudu ada EFIN. Gak jelas, ditelpon jawabannya selalu diluar jam operasional, lu kerjanya kapan?"
Abi Hidayat,1,2025-09-20 08:06:36,loginnya susah padahal udah bener password sama nik nya tapi ga bisa login malah error
Johanes Nuryanto,1,2025-09-20 01:17:25,tidak bisa masuk
KONSULTAN BISNIS DAN INOVASI (CHS - Chef Heri Suyono),1,2025-09-19 23:42:24,Aplikasi TAIIIIIII......... kalau gak becus gak usah di publish dulu.
Agus paytren,5,2025-09-19 18:12:10,alhamdulillah akhir nya selesai juga upgrade npwp baru 16 digit online nya
nur komah,1,2025-09-19 13:36:23,"tidak ada gunanya mau penyamaan nik sama npwp saja gk bisa harus ke kantor terdekat, pajak indonesia cuma mau duitnya, pelayanannya noll"
SMN play,1,2025-09-19 12:49:28,dana pemerintah dipakai sama boomer hasilnya gini amat
Erda Mandala Putra,1,2025-09-19 07:33:03,"aplikasi dan web tidak berjalan dengan lancar menyusahkan orang kalau bener bener membantu orang itu aplikasi dan webnya harus lancar. katanya disuruh taat pajak, buat npwp aja dipersusah. nggak berguna sama sekali, lebih baik diberhentikan aja"
Heribertus 2024,1,2025-09-19 06:22:04,system sampah..banyak koruptor gajelas sampah
Ghina Putri Andhyka,1,2025-09-19 03:56:52,"apk gajelas, uang pajak kemana aje bikin ribet lu"
Bayu Prakoso,1,2025-09-19 01:53:58,"susah bener masuk ke aplikasi, email verifikasi nya gak ada, padahal diaplikasi ada notif ""kode verifikasi sudah dikirim ke email"" , bahkan di spam juga gak ada, emang butuh waktu berapa lama ya buat kirim email kode verifikasinya?"
bang ipuL,1,2025-09-19 00:34:55,gak bisa buat masuk situs..padahal kemarin bukak situs lancar tp sekarang malah down
Irvan Raynaldy,1,2025-09-19 00:29:27,"sampah mau login aja susah banget. gue mau login verif suruh masukin kode aja kaga ada masuk ke email, sekalinya ada lama dan udah expired kodenya. bikin app yang bener gobloggggg bikin susah orang aja sialan. jangan perut doang yg digedein idiot"
Spade,1,2025-09-18 13:48:14,masih perlu di evaluasi lagi
Rekka Afrian,1,2025-09-18 11:54:47,gak niat bikin apk ni para pejabat
viral mancepto,5,2025-09-18 11:21:14,okebaik
Wamaliha 354,1,2025-09-18 11:16:09,KODE VERIFIKASI NYA MANAAA
CHANNEL WONGE DWE,1,2025-09-18 10:32:50,"jembot ora nk google ora nek kene podo ae.lek sekirane, aplikasi ne ra kenek orasah ngae aplikasi ruwet ruwet ruwwweeetttttt duwettttt"
Denny Koermianto,5,2025-09-18 10:02:41,Ok
Ghost Huaa,1,2025-09-18 09:36:23,"membuat NPWP susah, udah pajak, susah, pajak gblk"
mufthi Fauzi Efrizal,1,2025-09-18 09:03:57,Email verifikasi sangat lama masuknya
Galih Bayu Putra,1,2025-09-18 05:22:18,"kok bisaa ada aplikasi begini, ga guna asli"
Riski Syahputra,1,2025-09-18 04:36:42,request otpnya kelamaan
Fauzi Fiki Firqianto,1,2025-09-18 01:01:57,gak guna di persulit lupa password aja susahnya padahal email yang sama
034_ibnu choir masshullah robbininur,1,2025-09-17 23:13:54,aplikasi tolollllll mau ganti pw aj susah bener taiii korupis mulu anjg
Fuad Zulzaki Muhammad,1,2025-09-17 16:09:54,Aplikasi *** verifikasi aja kaga keluar-keluar
Mayada Putri,1,2025-09-17 13:25:56,"Tolong dong, baik web mau pun apk nya bnrin lg, mau daftar NPWP online bagian kolom kerjaan perlu verif orang ketiga itu mksdnya gmn sih anjir, mau verif no hp jg kodenya kg dikirim², 1 jam an di kerjain web yg bnyk minusnya ini wkwkwkkw. Daftar ACC di apk jg ampasss, ngga bisa samsek, bilangnya koneksi terganggu lah, awalnya mikir siapa tau emng wifi nya LG lag, beli kuota lah, sama aja anjir wkwkwk, pdhl gw mau wifi/kuota di pake buat yg lain lancar² aja, emng programnya aja yg AMPASSS"
Akmal Ruhama Yamazensa,1,2025-09-17 12:21:19,"aplikasi sangat busuk. mau login aja susah ,verif berulang2 gada yg masuk tuh codenya"
IMRON REVIADY,1,2025-09-17 12:16:31,aplikasi tolol
MUKORI_,1,2025-09-17 09:03:05,"DI SURUH LAPOR PAJAK, TAPI BUAT LOGIN AJ SUSAHNYA MINTA AMPUN"
deta de,1,2025-09-17 04:23:06,gak lengkap aplikasi nya.
Rehan Perdian,1,2025-09-16 23:53:39,"bagaimana cara saya untuk mendaftar NPWP, jika untuk mendaftar saja entah lewat website atau aplikasi saja sulit, website nya sangat buruk selalu error, website seakan-akan hanya pajangan agar terlihat pemerintah sangat modern, lewat aplikasi hanya bisa dilakukan jika kita sudah punya terdaftar saja, tidak ada opsi untuk mendaftar hanya login, JANGAN MEMPERSULIT RAKYAT UNTUK MENDAPATKAN PEKERJAAN, KARENA SEKARANG PERUSAHAAN MEWAJIBKAN PENCARI KERJA HARUS SUDAH PUNYA NPWP WALAU BELUM KERJA!"
hermanto Simatupang,1,2025-09-16 13:31:53,knpa apk djp setelah abdet mkin jelek
Firman Septian Fauzi,1,2025-09-15 14:51:10,"login bug eror, app pemerintah kebiasaan ini wkwkw"
iyan,1,2025-09-15 13:55:05,b aja ini apk ga bisa banyak hal. terpaksa harus ke kantor pajak
Idnep Pendy,1,2025-09-15 11:04:04,dipaksa baye pajak dinegara yg kocak minim digital.. anyinh
Kasianto Jps,5,2025-09-15 10:40:25,ok
samsu hadi,1,2025-09-15 06:31:39,aplikasi belum siap udah ditampilin loh udah loginnya susah setengah mati aplikasi murahan
Epan Triyani,1,2025-09-15 04:31:02,"gak ada gunanya,susah login aktivasi akun. semuanya susah, aplikasi abal abal. banyak korupsinya aja, capek"
goblok monyet,1,2025-09-15 03:24:00,jelek
Bayu Aji Trisasongko,5,2025-09-14 18:29:23,bintang 5 buat korupsii
Zuriyatun Thoiyyibah,1,2025-09-14 13:32:09,tidak berguna
Kariya Sama,1,2025-09-14 10:21:31,"Aplikasi t0/0/, dev t0/0/.. ribet, semua urusan ke pemerintah ribet.. mending gk ush byr pjk lol"
AldhyWijaya01 Wijaya,5,2025-09-14 02:52:18,mantap
Yond Della,5,2025-09-13 13:24:55,GOOD
Jar,1,2025-09-13 11:51:05,"emng tolol pemerintahan gada kerja nya, bikkn npwp online aja susah bgt idiot"
lBay,1,2025-09-13 07:50:24,"sulit untuk login kedalam apk selalu terdapat error di setiap percobaan login pdhal username dan password sudah benar bahkan untuk memastikan saya ganti password beberapa kali dan hasil tetap sama login error, coba diperbaiki aplikasinya katna terlalu banyak error dan belum siap digunakan cek lalu perbaiki lgi sebelum di publish"
PERU ARDIANSYAH,2,2025-09-13 00:29:14,iya
S Hafis J7,1,2025-09-13 00:06:53,none
Muhammad Haryani,1,2025-09-12 19:43:49,membutuhkan efin aja susah gagal trus untuk di foto gk jelas tidak mempermudah
Rafael Yafin,5,2025-09-12 14:06:59,sangat mudah di akses
Purki Samudra,1,2025-09-12 13:13:24,Digunakan untuk modus penipuan
Ziel mobile legend,1,2025-09-12 10:29:37,"aplikasi paling ribet paling jelek, tapi dananya paling besar dibanding yg lain"
Niluh Suandewi,5,2025-09-12 10:19:22,sangat bagus
Tony Arifin,5,2025-09-12 09:26:50,sangat membantu
Ahmad Arifin,1,2025-09-11 23:45:01,"apk ga guna,di web nya bisa dibuka giliran di apk katanya username sama password nya salah .kan apk bego"
Hamzah Pacitan,1,2025-09-11 13:46:47,niat mau liat KSWP jadi susah. aplikasi ini terjelek yang dibuat pemerintah
Akbar Valindo,1,2025-09-11 10:31:50,"aplikasi belum siap malah di paksa launching, konyol nyari tender yg bener lah, emang harus resuffle tim pajak ini, yg kolot² itu mending suruh pensiun ganti aja dah, bukan lagi jaman dia"
*,2,2025-09-11 09:41:43,"aplikasi burik, ga kirim2 kode efin gua , lemot lagi"
Muhammad Ridho,1,2025-09-11 09:20:46,Verifikasi Email. Tetapi pengiriman Token OTP ke Email sangat lama
Rostan Leonarto,1,2025-09-11 09:18:21,kode verifikasi yang di kirim ke email sangat lambat butuh waktu ber jam2 dan kodenya kadaluwarsa tidak bisa digunakan
adisurya atmaja,1,2025-09-11 09:05:15,"saya konfirmasi ke kpp pajak, infonya penipuan, hati"" ada yg 40mb dan 100mb, handphone saya di sarankan reset pabrik dan laporan yg berwajib"
rizki anjarsari,1,2025-09-11 08:43:07,"kenapa sih aplikasi pemeringah tp begini, masa nggak bisa bikin aplikasi bagus,, lemot banget asli, buruk banget, bayaar pajak mahal tp aplikasi nya tidak berfungsi dengan baik kek gni, sama sekali tidak membantu"
Raul Landi,1,2025-09-11 08:25:36,daftarnya ribet Verifikasi tolol gk aja bikin afk kalau gak guna bngst
Syahrul Ramadhan,1,2025-09-11 05:17:53,"gajelas sering down, buang buang anggaran aja"
Ahmad Altamis,2,2025-09-10 20:39:10,Mau dapt efiin aja susah suruh masukkan NPWP saya masukkan enggak bisa kurang satu padahal sekarang kan npwp nomor nik gimana ini saya pengen aktivasi DJP tolong di benahi tolong yaa tolong di dengar ini masukkan
Nur Hayati,1,2025-09-10 12:27:00,males amat tiap buka aplikasi harus log in ulang mulu
Robin Y,1,2025-09-10 06:11:54,"aplikasi berbahaya, sering eror & tdk berguna, gampang disalah gunakan oknum yang mencuri data pribadi untuk penipuan."
Engga Liberian,1,2025-09-10 01:18:35,aplikasi busuk.. aplikasi paling buruk.. yg orangnya kaya².. tidak berguna sama sekali.
Cahya Setiawan,1,2025-09-09 13:39:26,"ganti aplikasi y, pantes djp online ku ga bisa. Tapi ganti aplikasi kog malah lebih parah ga bisa login....apk malu2in....wkwkwk"
Alfii Effendy,1,2025-09-09 13:13:12,Ga di web / aplikasi mau lapor pajak aja susah amat! udah login pake akun terdaftar malah invalid eror! kenapa sih kalian pemerintah selalu nyusahin rakyat
Hikmal Aqila,1,2025-09-09 10:53:06,oi sialan bikin NPWP dipersulit kode Verifikasi ga muncul giliran muncul ga bisa verifikasi puki
Dewa Ayu,5,2025-09-09 08:28:53,mantap
Dimas Kris,5,2025-09-09 03:10:38,Mantap
boss mid,1,2025-09-08 16:01:38,"Untuk apa aplikasi ini kalo daftar ajah masi disuruh ke web site nya,setidaknya ada aplikasinya untuk mempermudah orang buat NPWP atau cek yang lain"
Afdol Tasmara,1,2025-09-08 13:41:30,"min, saya tidak bisa memasukkan npwp 16 digit di menu efin utk lupa efin, disana hanya boleh 15 digit"
Anyi Wulan,1,2025-09-08 11:29:48,saya habis kena tipu dr aplikasi ini. hp sy diretas
Dimz Turu,1,2025-09-08 09:41:26,ko eror si
Aryoz Hww,1,2025-09-08 02:33:02,ngk jls blok lokasi udh bener masih aja ngk bisa benerin no
HRS HIKERS,1,2025-09-07 23:59:36,"aplikasi koruptor, masuk aja eror masuk cortex eror gak jelas banget, nyusahin rakyat"
Kluyuran,1,2025-09-07 17:25:12,APLIKASI SAMPAHHHH!! NOMOR HP DAN EMAIL LAMA HARUS VERIFIKASI DI KANTOR!! NGAPAIN BIKIN APLIKASI ONLINE WOII
Moh Zierdhan,1,2025-09-07 15:17:45,SEKOLAH DULU YANG PINTER. BIAR BISA BIKIN APLIKASI BAGUS. TOLOL
Candra Septiano,1,2025-09-07 07:55:07,ribet dan tidak membantu
AABM CHANNEL,1,2025-09-07 02:02:51,"Kalau aplikasinya masih belum sepenuhnya bisa di gunakan, jangan di publish dulu dan jangan di promosikan. setiap login selalu kendala error, padahal NIK/NPWP sudah valid, eh giliran di klik verifikasi malah error. mohon untuk di tarik dulu aplikasinya dari PlayStore, soalnya belum bisa di gunakan 100%. mohon untuk di perbaiki dulu"
Andi Hamzah,1,2025-09-06 16:34:24,lambat
RASA RASA CHANNEL,3,2025-09-06 16:06:16,"ngak ada menu daftarnya, masak harus daftar lewat web lagi. Aplikasinya asal jadi uang proyek cair ujung2 dikorupsi."
Ganial Akbar,5,2025-09-06 12:46:58,"aplikasinya bagus banget untuk ladang korupsi, mantap kali, lanjutkan menyengsarakan masyarakat 👍🏻"
Imam Mustakim,1,2025-09-06 04:23:53,cortex sue asu bikin emosi input panjang panjang null eror
Abdul Hadi,1,2025-09-05 06:58:13,pwngen bilang anj
Wawan Purnomo,5,2025-09-05 02:25:58,sangat membantu
Ardad Ardhin,1,2025-09-04 13:10:29,"woyyy aplikasi apa ini ? sy dihbungi yg katanya org pajak, disuruh instal apk ini krn mau integrasi NIB ke DJP, tp stelah instal kmudian ikuti arahannya malah akun bank Brimo sy yg dihack tiba2 muncul notif perubahan kata sandi Brimo telah berhasil. msih untung gak ada saldo diBrimo. tolong pemerintah, kebocoran data sperti ini sangat merugikan. pemerintah indonesia TIDAK BERES."
Lukman Dwi,1,2025-09-04 02:32:49,apk taiiik eror terus
Yuda Halimawan,1,2025-09-03 22:26:31,aplikasi bobrok.suka ada update kaga sih? apa anggaran doang
Gahral Umar,1,2025-09-03 14:41:02,sangat menyulitkan untuk mendaftar kartu pajak
