userName,score,at,content
Muhammad Rifqi,1,2025-11-26 09:05:54,Ribet sangat tidak membantu karena harus aktivasi ke kantor pajak nya dulu kalau untuk karyawan atau pegawai aktif ya susah cari waktu nya. Semoga dibuat lebih mudah kan gunanya aplikasi itu untuk memudahkan bukan bikin ribet dan susah menggunakan nya.
Narzo 30a,3,2025-11-26 08:50:21,"kenapa kode otp lama sekali ya,gak dikirim"""
SULIKHIN Mahmik,5,2025-11-26 08:30:06,oke
Erika,5,2025-11-26 08:07:42,need to improve
online shop,5,2025-11-26 06:13:16,Alhamdulillah terima kasih kp2kp Majenang pengurusan NPWP lancar pelayanan 👍👍👍👍⭐
biang kerok,1,2025-11-26 05:25:35,"buruk buruk kacau negara besar tapi aplikasi kacau begini, login susah bener ngga masuk sampah"
Miftakhul Khasanah,1,2025-11-26 03:47:15,"buka aplikasi biar bisa laporan nggak pusing-pusing harus ke kantor pajak, malah tambah pusing. yg bikin aplikasi gimana sih? Mau laporan aja nggak tau harus klik yang mana. mana pas login eror mulu"
Taufik Ansari,1,2025-11-25 15:02:48,gagal log in... selalu error
Pak Muhammad,5,2025-11-25 12:17:31,sangat propesional
Mifta Fee,1,2025-11-25 07:34:24,"katanya udah dibenerin tapi nggak bisa"" login termasuk webnya coretax"
Rizka Bintang,1,2025-11-25 02:23:30,"sangat amat tidak membantu, mending dana buat bikin ni aplikasi buat hal lain yang lebih merakyat lagi"
Febriansyah Achmad Hidayat,1,2025-11-24 22:09:54,apk pemerintah emng selalu kacau!
Reinaa Kamila,1,2025-11-24 13:33:47,"tolong perbaiki sistem dibagian take foto saya gabisa upload foto nya, kalau gini terus gbisa buat NPWP nyusahin aja, kalian kerjanya apasih, kesalahan seperti ini aja ga di perhatikan nyusahin orang yang mau daftar npwp"
Wiwit Nurafiyanti,1,2025-11-24 12:22:17,"mau daftar bikin NPWP lewat online aja susah nya minta ampun, untuk sementara bintang 1 dulu min"
